product_id,product_name,category,revenue,units
1059,Cotton Patio Chair,Outdoor,67034.9,142
1042,Classic Dining Chair Pair,Furniture,52017.94,67
1072,Coastal Picture Frame Set,Decor,44213.96,310
1018,Ceramic Quilt,Bedding,41379.17,194
1044,Bamboo Nightstand,Furniture,41339.23,77
1076,Modern Wreath,Decor,40995.15,296
1041,Nordic Side Table,Furniture,40366.49,73
1054,Velvet String Lights,Lighting,38803.92,168
1080,Classic Garland,Decor,38667.93,288
1040,Marble Bookshelf,Furniture,38595.66,80
1056,Nordic Arc Lamp,Lighting,37772.04,156
1063,Matte Black Hammock,Outdoor,37100.84,150
1045,Rattan Console Table,Furniture,36733.97,72
1039,Nordic Coffee Table,Furniture,35723.31,73
1052,Linen Pendant Light,Lighting,33895.57,162
